trials	endpoint_feedback	online_feedback	aim_report	aim_ring	rotation	instruction	target_angle	target_distance	size	aim_at_targ
1	1	1	0	0	0	0	200	80	4	1
2	1	1	0	0	0	0	80	80	24	1
3	1	1	0	0	0	0	320	80	4	1
4	1	1	0	0	0	0	320	80	24	1
5	1	1	0	0	0	0	80	80	4	1
6	1	1	0	0	0	1	200	80	24	1
7	0	0	0	0	0	0	200	80	4	1
8	0	0	0	0	0	0	80	80	24	1
9	0	0	0	0	0	0	320	80	24	1
10	0	0	0	0	0	0	80	80	4	1
11	0	0	0	0	0	0	200	80	24	1
12	0	0	0	0	0	0	320	80	4	1
13	0	0	0	0	0	0	320	80	4	1
14	0	0	0	0	0	0	200	80	24	1
15	0	0	0	0	0	0	80	80	24	1
16	0	0	0	0	0	0	80	80	4	1
17	0	0	0	0	0	0	320	80	24	1
18	0	0	0	0	0	0	200	80	4	1
19	0	0	0	0	0	0	320	80	4	1
20	0	0	0	0	0	0	80	80	24	1
21	0	0	0	0	0	0	200	80	4	1
22	0	0	0	0	0	0	200	80	24	1
23	0	0	0	0	0	0	80	80	4	1
24	0	0	0	0	0	0	320	80	24	1
25	0	0	0	0	0	0	80	80	4	1
26	0	0	0	0	0	0	200	80	4	1
27	0	0	0	0	0	0	320	80	24	1
28	0	0	0	0	0	0	80	80	24	1
29	0	0	0	0	0	0	320	80	4	1
30	0	0	0	0	0	0	200	80	24	1
31	0	0	0	0	0	0	80	80	4	1
32	0	0	0	0	0	0	200	80	24	1
33	0	0	0	0	0	0	320	80	24	1
34	0	0	0	0	0	0	320	80	4	1
35	0	0	0	0	0	0	80	80	24	1
36	0	0	0	0	0	0	200	80	4	1
37	0	0	0	0	0	0	200	80	24	1
38	0	0	0	0	0	0	320	80	4	1
39	0	0	0	0	0	0	80	80	24	1
40	0	0	0	0	0	0	80	80	4	1
41	0	0	0	0	0	0	200	80	4	1
42	0	0	0	0	0	0	320	80	24	1
43	0	0	0	0	0	0	80	80	4	1
44	0	0	0	0	0	0	200	80	24	1
45	0	0	0	0	0	0	320	80	24	1
46	0	0	0	0	0	0	320	80	4	1
47	0	0	0	0	0	0	80	80	24	1
48	0	0	0	0	0	0	200	80	4	1
49	0	0	0	0	0	0	320	80	4	1
50	0	0	0	0	0	0	200	80	24	1
51	0	0	0	0	0	0	80	80	24	1
52	0	0	0	0	0	0	80	80	4	1
53	0	0	0	0	0	0	200	80	4	1
54	0	0	0	0	0	2	320	80	24	1
55	1	1	0	0	1.75	0	20	80	4	0
56	1	1	0	0	-1.75	3	20	80	4	0
57	0	0	0	0	0	0	320	80	4	1
58	1	1	0	0	1.75	0	320	80	4	1
59	0	0	0	0	0	0	320	80	4	1
60	0	0	0	0	0	0	80	80	4	1
61	1	1	0	0	-1.75	0	80	80	4	1
62	0	0	0	0	0	0	80	80	4	1
63	0	0	0	0	0	0	200	80	24	1
64	1	1	0	0	1.75	0	200	80	24	1
65	0	0	0	0	0	0	200	80	24	1
66	0	0	0	0	0	0	80	80	4	1
67	1	1	0	0	1.75	0	80	80	4	1
68	0	0	0	0	0	0	80	80	4	1
69	0	0	0	0	0	0	200	80	24	1
70	1	1	0	0	-1.75	0	200	80	24	1
71	0	0	0	0	0	0	200	80	24	1
72	0	0	0	0	0	0	320	80	4	1
73	1	1	0	0	-1.75	0	320	80	4	1
74	0	0	0	0	0	0	320	80	4	1
75	0	0	0	0	0	0	320	80	24	1
76	1	1	0	0	1.75	0	320	80	24	1
77	0	0	0	0	0	0	320	80	24	1
78	0	0	0	0	0	0	200	80	24	1
79	1	1	0	0	-1.75	0	200	80	24	1
80	0	0	0	0	0	0	200	80	24	1
81	0	0	0	0	0	0	80	80	4	1
82	1	1	0	0	1.75	0	80	80	4	1
83	0	0	0	0	0	0	80	80	4	1
