trials	endpoint_feedback	online_feedback	aim_report	aim_ring	rotation	instruction	target_angle	target_distance	size	aim_at_targ
1	1	1	0	0	0	0	90	80	4	1
2	1	1	0	0	0	0	330	80	24	1
3	1	1	0	0	0	0	210	80	24	1
4	1	1	0	0	0	0	210	80	4	1
5	1	1	0	0	0	0	90	80	24	1
6	1	1	0	0	0	0	330	80	4	1
7	1	1	0	0	0	0	210	80	4	1
8	1	1	0	0	0	0	330	80	24	1
9	1	1	0	0	0	0	90	80	24	1
10	1	1	0	0	0	0	330	80	4	1
11	1	1	0	0	0	0	90	80	4	1
12	1	1	0	0	0	0	210	80	24	1
13	1	1	0	0	0	0	90	80	4	1
14	1	1	0	0	0	0	210	80	24	1
15	1	1	0	0	0	0	330	80	24	1
16	1	1	0	0	0	0	330	80	4	1
17	1	1	0	0	0	0	90	80	24	1
18	1	1	0	0	0	1	210	80	4	1
19	0	0	0	0	0	0	210	80	24	1
20	0	0	0	0	0	0	90	80	24	1
21	0	0	0	0	0	0	330	80	4	1
22	0	0	0	0	0	0	330	80	24	1
23	0	0	0	0	0	0	210	80	4	1
24	0	0	0	0	0	0	90	80	4	1
25	0	0	0	0	0	0	90	80	24	1
26	0	0	0	0	0	0	330	80	4	1
27	0	0	0	0	0	0	210	80	4	1
28	0	0	0	0	0	0	330	80	24	1
29	0	0	0	0	0	0	210	80	24	1
30	0	0	0	0	0	0	90	80	4	1
31	0	0	0	0	0	0	330	80	24	1
32	0	0	0	0	0	0	210	80	4	1
33	0	0	0	0	0	0	90	80	4	1
34	0	0	0	0	0	0	210	80	24	1
35	0	0	0	0	0	0	330	80	4	1
36	0	0	0	0	0	0	90	80	24	1
37	0	0	0	0	0	0	90	80	4	1
38	0	0	0	0	0	0	210	80	24	1
39	0	0	0	0	0	0	330	80	24	1
40	0	0	0	0	0	0	330	80	4	1
41	0	0	0	0	0	0	210	80	4	1
42	0	0	0	0	0	0	90	80	24	1
43	0	0	0	0	0	0	330	80	4	1
44	0	0	0	0	0	0	90	80	24	1
45	0	0	0	0	0	0	210	80	24	1
46	0	0	0	0	0	0	90	80	4	1
47	0	0	0	0	0	0	210	80	4	1
48	0	0	0	0	0	0	330	80	24	1
49	0	0	0	0	0	0	90	80	4	1
50	0	0	0	0	0	0	210	80	24	1
51	0	0	0	0	0	0	330	80	4	1
52	0	0	0	0	0	0	210	80	4	1
53	0	0	0	0	0	0	90	80	24	1
54	0	0	0	0	0	0	330	80	24	1
55	0	0	0	0	0	0	90	80	4	1
56	0	0	0	0	0	0	330	80	24	1
57	0	0	0	0	0	0	210	80	4	1
58	0	0	0	0	0	0	90	80	24	1
59	0	0	0	0	0	0	330	80	4	1
60	0	0	0	0	0	0	210	80	24	1
61	0	0	0	0	0	0	210	80	4	1
62	0	0	0	0	0	0	90	80	24	1
63	0	0	0	0	0	0	330	80	4	1
64	0	0	0	0	0	0	330	80	24	1
65	0	0	0	0	0	0	210	80	24	1
66	0	0	0	0	0	0	90	80	4	1
67	0	0	0	0	0	0	210	80	4	1
68	0	0	0	0	0	0	90	80	24	1
69	0	0	0	0	0	0	330	80	4	1
70	0	0	0	0	0	0	90	80	4	1
71	0	0	0	0	0	0	210	80	24	1
72	0	0	0	0	0	0	330	80	24	1
73	0	0	0	0	0	0	210	80	4	1
74	0	0	0	0	0	0	90	80	24	1
75	0	0	0	0	0	0	330	80	4	1
76	0	0	0	0	0	0	90	80	4	1
77	0	0	0	0	0	0	330	80	24	1
78	0	0	0	0	0	2	210	80	24	1
79	1	1	0	0	1.75	0	30	80	4	0
80	1	1	0	0	-1.75	3	30	80	4	0
81	1	1	0	0	-1.75	0	210	80	24	1
82	1	1	0	0	-1.75	0	330	80	24	1
83	1	1	0	0	-1.75	0	90	80	4	1
84	1	1	0	0	-1.75	0	210	80	24	1
85	1	1	0	0	-1.75	0	330	80	4	1
86	1	1	0	0	-1.75	0	90	80	4	1
87	1	1	0	0	-1.75	0	210	80	24	1
88	1	1	0	0	-1.75	0	90	80	4	1
89	1	1	0	0	-1.75	0	330	80	24	1
90	1	1	0	0	-1.75	0	330	80	4	1
91	1	1	0	0	-1.75	0	90	80	4	1
92	1	1	0	0	-1.75	0	210	80	24	1
93	1	1	0	0	-1.75	0	90	80	4	1
94	1	1	0	0	-1.75	0	330	80	24	1
95	1	1	0	0	-1.75	0	210	80	24	1
96	1	1	0	0	-1.75	0	90	80	4	1
97	1	1	0	0	-1.75	0	210	80	24	1
98	1	1	0	0	-1.75	0	330	80	4	1
99	1	1	0	0	-1.75	0	330	80	24	1
100	1	1	0	0	-1.75	0	210	80	24	1
101	1	1	0	0	-1.75	0	90	80	4	1
102	1	1	0	0	-1.75	0	330	80	4	1
103	1	1	0	0	-1.75	0	90	80	4	1
104	1	1	0	0	-1.75	0	210	80	24	1
105	1	1	0	0	-1.75	0	90	80	4	1
106	1	1	0	0	-1.75	0	210	80	24	1
107	1	1	0	0	-1.75	0	330	80	4	1
